Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25891671667,28429218942,32013479421,37045225927,44182320594,55922135892,1.06E+11,1.17E+11,1.45E+11,1.68E+11,1.84E+11,2.49E+11,3.38E+11,3.48E+11,3.26E+11,3.07E+11,3.11E+11,3.08E+11,2.94E+11,3.13E+11,3.08E+11,3.23E+11,4.47E+11,4.41E+11,4.72E+11,4.78E+11,4.88E+11,5.25E+11,5.79E+11,6.14E+11,5.92E+11,6.45E+11,7.36E+11,7.24E+11,7.30E+11,8.24E+11,9.65E+11,1.19E+12,1.41E+12,1.64E+12,2.08E+12,1.79E+12,2.11E+12,2.49E+12,2.77E+12,2.86E+12,2.89E+12,2.53E+12,2.46E+12,2.51E+12,2.77E+12,2.82E+12,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.80481562,8.225653091,-0.655202943,11.53694064,9.137645025,2.910406577,-9.079802594,-6.840994904,1.356400282,-2.294371986,4.709641622,-0.495683715,5.602647856,2.357564374,13.11157407,1.514301183,4.98215812,3.270957227,3.198334315,2.754560586,4.596311961,4.239930098,5.266149848,1.789949565,5.459767033,1.571133334,0.583700726,5.331643759,9.32155715,5.749792044,6.50186983,4.552281042,5.808791304,0.425263876,4.642129411,3.816275069,6.59012056,3.184266494,2.447409777,3.173547388,3.421764682,1.13716881,2.089836584,1.478439683,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,224.8786795,240.0362398,262.8674185,295.9717285,343.567306,423.1354923,777.5625669,836.2108098,1007.143286,1123.145582,1193.748133,1563.707331,2052.961536,2050.774737,1864.875701,1699.219723,1672.282916,1606.759809,1489.843744,1543.516923,1476.044707,1505.509199,2009.420349,1929.618437,2028.191743,1997.278334,1989.840619,2073.142076,2236.328685,2319.410349,2189.681123,2332.798104,2606.076582,2510.261947,2476.696029,2736.482119,3134.673534,3765.820496,4359.807963,4963.541521,6146.391727,5176.528324,5934.290684,6867.692047,7465.151651,7519.80826,7457.461109,6387.660615,6097.239025,6102.211067,6603.35119,6580.056257,
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,12.26731411,4.809279689,-3.845663431,7.959083675,5.68455691,-0.290452906,-11.86502858,-9.650744383,-1.656097031,-5.156979313,1.691630783,-3.3114228,2.66811875,-0.437514276,9.098547474,-1.183338172,3.07830508,0.557170817,0.588981379,-0.354326943,2.216183582,1.948561939,3.027734986,-0.352708151,3.237234582,-0.572753698,-1.54393583,3.075857844,6.925001184,3.364975971,4.029025868,2.071203718,3.274463843,-1.96007227,2.206360856,1.452510748,4.212686552,0.93903838,0.281233064,1.057981313,1.374916531,-0.796334151,0.170654445,-0.437826241,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6851.732087,7419.537451,7824.596626,8021.948011,8216.130174,8350.17564,8687.177418,9001.711806,9405.352678,9526.801856,10044.09785,10210.30968,10201.27755,10660.27425,11683.73611,12440.94874,13288.10316,13914.32088,14656.03738,14522.4436,15025.46757,15514.35893,16546.02371,16501.66971,16213.19333,14609.63202,14012.69793,14557.76847,14972.43073,15216.54346,
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53E+12,1.70E+12,1.82E+12,1.92E+12,2.02E+12,2.11E+12,2.25E+12,2.38E+12,2.54E+12,2.63E+12,2.84E+12,2.94E+12,3.01E+12,3.21E+12,3.60E+12,3.92E+12,4.28E+12,4.60E+12,4.96E+12,5.03E+12,5.33E+12,5.63E+12,6.15E+12,6.27E+12,6.29E+12,5.79E+12,5.66E+12,6.00E+12,6.29E+12,6.51E+12,
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1880306123,2038301739,2153895645,2290313586,2470264537,2660946061,2888647975,3102515473,3083590684,3359706533,3695257609,4017606919,4639299315,5076285822,6595605176,7706760547,7932122913,9210483133,9433651745,10835423592,13495267685,14890318684,16517826893,16735577942,15982827538,15814749078,14441278122,15521748105,16459864029,16872895994,18011674585,17843522924,17570521376,18998042394,19981133734,22033816335,24055637180,28177580886,30105049029,31909169732,34214097415,35249481796,36982219228,39530782033,43258087269,48908549560,54720627529,60911443518,69201370935,58250029912,63364789294,68552917331,70849598299,72231768542,73185354885,71787351548,68222566249,69913144887,73459161489,76290373254,
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,4.367665076,6.03854964,5.520171116,4.702007812,2.137352957,7.800603711,-0.795361726,-3.413816828,-1.390634916,1.088526041,3.917972521,5.848902303,5.167597771,2.376086758,1.014211612,1.315233291,-2.330884463,0.972730367,-0.048060301,1.363351254,1.909576521,2.286544458,4.298217019,0.979698097,1.3257911,2.104771585,2.940207385,2.689854709,2.866238883,3.367938331,3.04761313,3.00443104,4.087652436,3.814810231,2.004765005,3.638212583,5.743616312,3.972397227,3.697960541,6.803980121,3.246979301,1.283396809,-3.690480447,1.292471198,1.057106013,1.231205524,0.752549991,0.505916307,1.143925819,-1.597755503,-0.106127227,1.325229304,0.8752453,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,448.2565239,476.9005908,494.7358032,516.742205,547.9494328,580.94515,621.4328548,658.3550888,645.926683,695.0385497,755.1430154,811.13191,925.5253179,1000.854074,1285.484282,1485.167338,1511.870326,1736.743344,1759.825463,1999.198431,2461.64914,2683.659814,2940.221612,2942.730299,2778.876475,2722.8412,2466.299838,2633.113424,2775.609982,2827.693162,2997.32439,2945.298081,2874.374797,3078.924099,3208.617127,3507.904766,3799.490337,4417.551332,4686.466343,4933.02746,5252.809735,5374.137198,5599.154459,5943.610645,6459.368502,7253.537344,8061.230996,8913.791951,10059.83315,8411.007673,9086.894793,9762.053463,10017.38359,10140.16594,10202.27477,9939.801206,9384.914524,9557.517493,9982.268089,10307.58628,
Caribbean small states,CSS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,2.946744528,4.67525772,4.211713153,3.426529165,0.907663922,6.520466541,-1.956058697,-4.522193943,-2.498888647,-0.017625221,2.806077352,4.718372672,4.016492433,1.212270134,-0.19293155,0.064132266,-3.519433282,-0.158756165,-1.02269935,0.545165946,1.228707216,1.676776368,3.654303759,0.270013048,0.505307999,1.194319562,1.980332044,1.750178478,1.984262491,2.550141608,2.283918366,2.278457938,3.369181873,3.097436845,1.295438699,2.918484141,5.012168105,3.258511559,2.99414434,6.089564439,2.562986626,0.612220997,-4.336775969,0.598798779,0.349356707,0.511575434,0.035914932,-0.196069272,0.46082523,-2.236327657,-0.728897753,0.719739679,0.297147185,
