Row,Building,City,Height m,Height ft,Floors,Year,Status
1,HSB Turning Torso,Malmö,190.00 m,623.36 ft,57 floors,2005,completed
2,30 St Mary Axe,London,179.80 m,589.90 ft,41 floors,2003,completed
3,Empire State Building,New York City,381.01 m,1250.02 ft,102 floors,1931,completed
4,Commerzbank Tower,Frankfurt am Main,259.00 m,849.74 ft,58 floors,1997,completed
5,Chrysler Building,New York City,318.92 m,1046.31 ft,77 floors,1930,completed
6,Lake Point Tower,Chicago,196.60 m,645.01 ft,70 floors,1968,completed
7,Bank of China Tower,Hong Kong,367.40 m,1205.38 ft,70 floors,1990,completed
8,875 North Michigan,Chicago,343.69 m,1127.58 ft,100 floors,1969,completed
9,The Shard,London,306.00 m,1003.94 ft,66 floors,2012,completed
10,Hearst Tower,New York City,181.97 m,597.01 ft,46 floors,2006,completed
11,VIA 57 West,New York City,142.30 m,466.86 ft,32 floors,2016,completed
12,Shanghai Tower,Shanghai,632.11 m,2073.86 ft,128 floors,2015,completed
13,The Wave,Gold Coast City,111.00 m,364.17 ft,34 floors,2006,completed
14,Hotel Porta Fira,L'Hospitalet de Llobregat,113.61 m,372.74 ft,27 floors,2010,completed
15,Mode Gakuen Cocoon Tower,Tokyo,203.65 m,668.14 ft,50 floors,2008,completed
16,Burj Khalifa,Dubai,828.00 m,2716.54 ft,162 floors,2010,completed
17,Jin Mao Tower,Shanghai,420.53 m,1379.69 ft,88 floors,1999,completed
18,Transamerica Pyramid,San Francisco,260.00 m,853.01 ft,48 floors,1972,completed
19,Soyak Tower,Istanbul,169.00 m,554.46 ft,37 floors,2014,completed
20,La Grande Arche,Puteaux,110.98 m,364.11 ft,35 floors,1989,completed
21,Aqua,Chicago,261.75 m,858.75 ft,86 floors,2009,completed
22,Terminal Tower,Cleveland,215.80 m,708.01 ft,52 floors,1930,completed
23,Palace of Culture and Science,Warsaw,230.68 m,756.82 ft,43 floors,1955,completed
24,Cayan Tower,Dubai,306.37 m,1005.15 ft,73 floors,2013,completed
25,The Bryant Park Hotel,New York City,103.00 m,337.92 ft,23 floors,1924,completed
26,Tribune Tower,Chicago,141.12 m,463.01 ft,34 floors,1925,under renovation
27,Fountain Place,Dallas,219.46 m,720.01 ft,62 floors,1986,completed
28,Kotelnicheskaya Naberezhnaya 1/15,Moscow,176.00 m,577.43 ft,32 floors,1952,completed
29,Torre Agbar,Barcelona,144.44 m,473.88 ft,33 floors,2004,completed
30,MesseTurm,Frankfurt am Main,256.50 m,841.54 ft,55 floors,1990,completed
31,Harbour Tower,Buenos Aires,188.00 m,616.80 ft,52 floors,,foundation work
32,570 Lexington Avenue,New York City,195.07 m,640.01 ft,49 floors,1931,completed
33,Chicago Spire,Chicago,609.61 m,2000.02 ft,150 floors,,canceled
34,U.S. Steel Tower,Pittsburgh,256.34 m,841.00 ft,64 floors,1970,completed
35,Złota 44,Warsaw,192.00 m,629.92 ft,54 floors,2014,completed
36,Hesperia Tower,L'Hospitalet de Llobregat,105.00 m,344.49 ft,28 floors,2006,completed
37,Tour D2,Courbevoie,171.00 m,561.02 ft,37 floors,2014,completed
38,Fisher Building,Detroit,135.47 m,444.47 ft,30 floors,1928,completed
39,Kingdom Centre,Riyadh,302.33 m,991.89 ft,41 floors,2002,completed
40,Singer Building,New York City,186.57 m,612.11 ft,47 floors,1908,destroyed
41,Beirut Terraces,Beirut,119.62 m,392.45 ft,28 floors,2017,completed
42,Two World Trade Center,New York City,411.00 m,1348.43 ft,79 floors,2020,canceled
43,O-14,Dubai,105.70 m,346.78 ft,23 floors,2009,completed
44,Elbphilharmonie,Hamburg,110.00 m,360.89 ft,25 floors,2017,completed
45,Marina City I,Chicago,171.40 m,562.34 ft,61 floors,1964,completed
46,56 Leonard Street,New York City,250.24 m,821.01 ft,57 floors,2016,completed
47,Edificio Kavanagh,Buenos Aires,120.35 m,394.85 ft,29 floors,1936,completed
48,Ministry of Foreign Affairs,Moscow,172.00 m,564.30 ft,27 floors,1953,completed
49,CCTV Headquarters,Beijing,234.00 m,767.72 ft,49 floors,2012,completed
50,The Bow,Calgary,236.00 m,774.28 ft,59 floors,2012,completed
51,Tour Carpe Diem,Courbevoie,166.00 m,544.62 ft,38 floors,2013,completed
52,Tour CMA-CGM,Marseille,145.00 m,475.72 ft,34 floors,2010,completed
53,Tour Triangle,Paris,180.00 m,590.55 ft,50 floors,2023,approved
54,One Hundred Above the Park,Saint Louis,117.35 m,385.00 ft,36 floors,,topped out
55,Skybridge,Chicago,128.17 m,420.51 ft,39 floors,2003,completed
56,Coeur Défense,Courbevoie,162.10 m,531.83 ft,45 floors,2001,completed
57,Cathedral of Learning,Pittsburgh,163.07 m,535.01 ft,42 floors,1936,completed
58,Chase Tower,Chicago,259.08 m,850.01 ft,60 floors,1969,completed
